Student_ID,Age,Gender,University_Year,Major,Attendance_Percentage,Study_Hours_Per_Week,CGPA,Academic_Performance,Programming_Skill
ST000046,22,Female,Sophomore,Cybersecurity,65,32,2.99,Average,7
ST000047,20,Male,Senior,Computer Science,79,20,2.62,Average,6
ST000048,21,Male,Senior,Artificial Intelligence,83,20,3.02,Average,7
ST000049,21,Male,Senior,Artificial Intelligence,78,19,2.77,Average,7
ST000050,23,Male,Sophomore,Data Science,79,19,3.11,Average,8
ST000051,21,Female,Junior,Software Engineering,76,29,3.06,Average,7
ST000052,21,Male,Senior,Artificial Intelligence,81,29,3.28,Good,9
ST000053,25,Male,Freshman,Electrical Engineering,76,16,2.9,Average,4
ST000054,22,Male,Junior,Computer Science,75,22,3.07,Average,6
ST000055,22,Female,Freshman,Artificial Intelligence,86,23,3.1,Average,9
ST000056,20,Female,Senior,Computer Science,89,18,3.27,Good,9
ST000057,21,Male,Junior,Artificial Intelligence,87,29,3.51,Good,9
ST000058,22,Female,Junior,Data Science,82,22,3.27,Good,7
ST000059,21,Male,Sophomore,Information Technology,96,23,3.59,Good,6
ST000060,21,Female,Sophomore,Data Science,97,18,3.28,Good,7
ST000061,20,Male,Senior,Computer Science,81,26,3.03,Average,7
ST000062,18,Male,Sophomore,Computer Science,96,18,3.2,Good,8
ST000063,22,Male,Sophomore,Computer Science,88,36,3.53,Good,7
ST000064,21,Female,Senior,Software Engineering,77,29,3.29,Good,10
ST000065,21,Male,Senior,Software Engineering,80,23,3.29,Good,8
ST000066,21,Male,Senior,Artificial Intelligence,78,23,3.11,Average,10
ST000067,23,Female,Freshman,Computer Science,93,11,3.02,Average,7
ST000068,21,Female,Senior,Artificial Intelligence,84,18,2.89,Average,9
ST000069,19,Male,Junior,Computer Science,69,32,3.08,Average,8
ST000070,21,Female,Senior,Cybersecurity,75,34,3.25,Good,6
ST000071,24,Female,Freshman,Computer Science,89,24,3.17,Average,7
ST000072,22,Female,Junior,Data Science,71,20,3.13,Average,8
ST000073,26,Female,Junior,Electrical Engineering,92,18,3.44,Good,6
ST000074,21,Male,Senior,Data Science,81,36,3.68,Good,9
ST000075,20,Female,Sophomore,Business Analytics,69,11,2.66,Average,5
ST000076,21,Female,Senior,Software Engineering,75,24,3.11,Average,8
ST000077,20,Female,Senior,Data Science,78,14,2.68,Average,8
ST000078,18,Male,Sophomore,Cybersecurity,97,27,3.49,Good,8
ST000079,20,Female,Senior,Computer Science,89,22,3.38,Good,8
ST000080,22,Male,Senior,Data Science,88,14,2.98,Average,9
ST000081,21,Male,Sophomore,Information Technology,93,30,3.62,Good,6
ST000082,20,Male,Senior,Data Science,79,28,3.38,Good,7
ST000083,18,Female,Junior,Cybersecurity,97,16,3.15,Average,5
ST000084,22,Male,Junior,Electrical Engineering,68,10,2.74,Average,7
ST000085,23,Female,Sophomore,Artificial Intelligence,65,21,2.62,Average,6
ST000086,24,Other,Junior,Data Science,83,12,2.84,Average,7
ST000087,18,Female,Sophomore,Artificial Intelligence,82,22,3.02,Average,7
ST000088,23,Female,Sophomore,Business Analytics,73,37,3.1,Average,6
ST000089,22,Male,Sophomore,Artificial Intelligence,81,40,3.39,Good,10
ST000090,23,Male,Sophomore,Artificial Intelligence,82,16,3.03,Average,7
ST000091,21,Male,Senior,Cybersecurity,87,22,3.31,Good,7
ST000092,24,Female,Sophomore,Cybersecurity,94,22,3.72,Excellent,9
ST000093,24,Female,Sophomore,Data Science,70,6,2.59,Poor,9
ST000094,19,Female,Senior,Software Engineering,80,16,3.04,Average,7
ST000095,20,Male,Senior,Computer Science,71,19,2.75,Average,6
ST000096,26,Female,Sophomore,Cybersecurity,97,30,3.57,Good,10
ST000097,23,Female,Freshman,Computer Science,91,11,2.68,Average,7
ST000098,20,Male,Senior,Business Analytics,67,23,2.85,Average,5
ST000099,20,Female,Freshman,Business Analytics,68,10,2.8,Average,4
ST000100,25,Male,Junior,Computer Science,95,32,3.62,Good,7
ST000101,20,Male,Sophomore,Artificial Intelligence,71,25,3.15,Average,9
ST000102,26,Female,Senior,Computer Science,75,28,3.13,Average,8
ST000103,22,Male,Senior,Software Engineering,79,20,3.07,Average,9
ST000104,19,Male,Sophomore,Computer Science,83,12,2.99,Average,6
ST000105,20,Male,Freshman,Computer Science,89,24,3.51,Good,9
ST000106,21,Male,Junior,Information Technology,93,17,3.22,Good,6
ST000107,18,Other,Senior,Data Science,84,28,3.09,Average,5
ST000108,20,Male,Freshman,Software Engineering,92,26,3.53,Good,9
ST000109,21,Female,Freshman,Software Engineering,74,8,2.65,Average,7
ST000110,21,Male,Freshman,Data Science,100,32,3.64,Good,7
ST000111,19,Female,Freshman,Computer Science,81,34,3.62,Good,8
ST000112,19,Male,Junior,Information Technology,79,24,3.25,Good,6
ST000113,20,Female,Sophomore,Computer Science,66,18,2.84,Average,5
ST000114,23,Female,Senior,Cybersecurity,71,22,2.97,Average,8
ST000115,23,Male,Freshman,Information Technology,88,36,3.56,Good,6
ST000116,21,Male,Freshman,Software Engineering,79,11,2.96,Average,8
ST000117,22,Female,Junior,Computer Science,100,29,3.58,Good,9
ST000118,21,Male,Sophomore,Information Technology,100,14,3.31,Good,8
ST000119,18,Male,Junior,Computer Science,83,19,3.13,Average,7
ST000120,22,Male,Sophomore,Information Technology,72,18,2.97,Average,6
ST000121,24,Female,Junior,Software Engineering,86,21,3.05,Average,8
ST000122,21,Female,Senior,Computer Science,83,35,3.29,Good,7
ST000123,20,Female,Freshman,Software Engineering,80,15,3.1,Average,8
ST000124,20,Male,Freshman,Information Technology,89,26,3.22,Good,8
ST000125,28,Male,Senior,Artificial Intelligence,71,14,2.87,Average,9
ST000126,19,Male,Freshman,Artificial Intelligence,54,26,2.56,Poor,5
ST000127,21,Female,Junior,Computer Science,79,16,3.26,Good,7
ST000128,21,Female,Senior,Electrical Engineering,77,17,2.71,Average,4
ST000129,29,Female,Junior,Artificial Intelligence,80,26,3.21,Good,8
ST000130,19,Female,Sophomore,Information Technology,84,25,3.0,Average,7
ST000131,22,Female,Freshman,Information Technology,80,22,3.06,Average,5
ST000132,22,Female,Freshman,Artificial Intelligence,75,24,2.86,Average,8
ST000133,23,Male,Senior,Cybersecurity,91,24,3.26,Good,9
ST000134,19,Female,Senior,Cybersecurity,89,9,3.18,Average,6
ST000135,22,Female,Sophomore,Computer Science,76,20,2.71,Average,6
ST000136,21,Male,Sophomore,Software Engineering,87,22,3.16,Average,8
ST000137,23,Female,Freshman,Cybersecurity,80,25,2.92,Average,6
ST000138,19,Female,Senior,Business Analytics,80,18,2.7,Average,5
ST000139,21,Male,Sophomore,Artificial Intelligence,77,21,3.4,Good,7
ST000140,21,Female,Senior,Data Science,85,21,3.34,Good,8
ST000141,21,Male,Senior,Computer Science,81,23,3.21,Good,8
ST000142,21,Female,Junior,Software Engineering,81,19,3.21,Good,9
ST000143,19,Female,Freshman,Software Engineering,75,25,3.18,Average,9
ST000144,28,Male,Freshman,Cybersecurity,74,19,2.62,Average,6
ST000145,22,Male,Freshman,Software Engineering,79,7,2.83,Average,6
ST000146,19,Female,Junior,Artificial Intelligence,90,15,3.2,Good,9
ST000147,21,Male,Senior,Computer Science,73,29,3.1,Average,7
ST000148,21,Male,Senior,Artificial Intelligence,84,23,3.32,Good,9
ST000149,19,Female,Senior,Software Engineering,82,23,3.06,Average,8
ST000150,20,Male,Senior,Artificial Intelligence,76,20,2.9,Average,9
ST000151,23,Female,Senior,Computer Science,85,15,2.9,Average,8
ST000152,25,Male,Freshman,Data Science,89,18,3.15,Average,6
ST000153,20,Female,Freshman,Computer Science,89,27,3.45,Good,8
ST000154,21,Female,Senior,Computer Science,83,23,3.14,Average,9
ST000155,22,Female,Sophomore,Artificial Intelligence,78,19,3.17,Average,9
ST000156,28,Female,Sophomore,Data Science,91,21,3.24,Good,8
ST000157,19,Female,Freshman,Artificial Intelligence,59,32,2.68,Average,7
ST000158,20,Male,Junior,Data Science,75,25,3.33,Good,7
ST000159,23,Female,Junior,Artificial Intelligence,90,18,3.13,Average,9
ST000160,20,Female,Junior,Computer Science,96,17,3.02,Average,8
ST000161,22,Female,Sophomore,Business Analytics,83,26,3.53,Good,4
ST000162,22,Male,Sophomore,Software Engineering,69,24,3.05,Average,8
ST000163,23,Male,Junior,Information Technology,76,21,3.04,Average,6
ST000164,20,Other,Sophomore,Artificial Intelligence,93,15,3.12,Average,9
ST000165,19,Male,Senior,Cybersecurity,86,31,3.51,Good,7
ST000166,19,Other,Junior,Business Analytics,78,34,3.35,Good,6
ST000167,18,Male,Junior,Cybersecurity,81,26,3.03,Average,7
ST000168,22,Male,Sophomore,Software Engineering,82,17,3.12,Average,9
ST000169,19,Male,Senior,Software Engineering,88,12,3.21,Good,9
ST000170,22,Female,Junior,Computer Science,76,10,2.57,Poor,7
ST000171,21,Female,Junior,Software Engineering,72,15,2.82,Average,8
ST000172,23,Female,Junior,Software Engineering,81,11,2.73,Average,6
ST000173,20,Female,Junior,Cybersecurity,90,13,3.21,Good,9
ST000174,20,Male,Junior,Data Science,79,21,2.82,Average,7
ST000175,21,Other,Junior,Artificial Intelligence,80,27,3.13,Average,7
ST000176,20,Male,Junior,Computer Science,72,16,2.79,Average,6
ST000177,20,Female,Senior,Artificial Intelligence,90,28,3.31,Good,9
ST000178,23,Female,Senior,Artificial Intelligence,68,26,2.85,Average,9
ST000179,23,Male,Junior,Artificial Intelligence,77,32,3.06,Average,9
ST000180,19,Male,Junior,Computer Science,100,30,3.46,Good,7
ST000181,20,Female,Sophomore,Software Engineering,83,42,3.65,Good,9
ST000182,23,Female,Freshman,Cybersecurity,77,19,3.11,Average,8
ST000183,20,Male,Sophomore,Software Engineering,92,36,3.4,Good,7
ST000184,21,Male,Freshman,Computer Science,72,23,2.82,Average,6
ST000185,22,Female,Senior,Computer Science,96,28,3.58,Good,10
ST000186,20,Male,Sophomore,Computer Science,94,18,3.27,Good,8
ST000187,20,Female,Freshman,Software Engineering,75,20,2.85,Average,5
ST000188,23,Female,Junior,Software Engineering,86,32,3.54,Good,10
ST000189,21,Male,Senior,Artificial Intelligence,83,24,3.45,Good,10
ST000190,21,Female,Junior,Software Engineering,78,12,2.83,Average,9
ST000191,19,Female,Sophomore,Information Technology,70,15,2.82,Average,5
ST000192,19,Male,Sophomore,Software Engineering,71,8,2.65,Average,6
ST000193,21,Male,Sophomore,Computer Science,89,26,3.21,Good,7
ST000194,22,Female,Senior,Software Engineering,100,29,3.68,Good,10
ST000195,26,Female,Freshman,Cybersecurity,88,28,3.29,Good,8
ST000196,27,Male,Junior,Data Science,94,33,3.7,Excellent,8
ST000197,22,Female,Senior,Business Analytics,56,19,2.58,Poor,3
ST000198,22,Female,Sophomore,Computer Science,70,26,3.07,Average,6
ST000199,20,Female,Junior,Software Engineering,80,11,2.77,Average,7
ST000200,28,Female,Sophomore,Artificial Intelligence,74,12,2.68,Average,8
ST000201,18,Male,Junior,Artificial Intelligence,83,40,3.6,Good,8
ST000202,23,Male,Junior,Cybersecurity,100,27,3.67,Good,9
ST000203,20,Female,Senior,Cybersecurity,91,19,2.99,Average,6
ST000204,23,Male,Senior,Information Technology,96,13,3.24,Good,5
ST000205,26,Male,Senior,Data Science,74,20,3.1,Average,7
ST000206,21,Female,Sophomore,Software Engineering,75,25,2.74,Average,7
ST000207,20,Male,Sophomore,Computer Science,54,18,2.4,Poor,7
ST000208,20,Male,Sophomore,Software Engineering,79,24,3.11,Average,8
ST000209,22,Male,Freshman,Software Engineering,74,27,3.18,Average,10
ST000210,21,Female,Freshman,Cybersecurity,80,23,3.35,Good,9
ST000211,21,Male,Junior,Software Engineering,91,18,3.32,Good,8
ST000212,22,Female,Sophomore,Data Science,72,34,3.34,Good,7
ST000213,20,Female,Senior,Artificial Intelligence,63,23,2.48,Poor,7
ST000214,23,Male,Senior,Software Engineering,89,24,3.07,Average,7
ST000215,23,Female,Sophomore,Electrical Engineering,84,13,3.02,Average,5
ST000216,19,Female,Senior,Software Engineering,81,31,3.12,Average,7
ST000217,21,Female,Junior,Artificial Intelligence,63,19,2.71,Average,8
ST000218,21,Female,Sophomore,Information Technology,72,20,2.98,Average,6
ST000219,27,Male,Sophomore,Cybersecurity,79,16,3.2,Good,7
ST000220,22,Male,Sophomore,Software Engineering,99,22,3.5,Good,10
ST000221,19,Male,Junior,Software Engineering,94,22,3.07,Average,7
ST000222,20,Male,Freshman,Data Science,73,30,3.28,Good,8
ST000223,20,Male,Sophomore,Artificial Intelligence,86,8,2.72,Average,7
ST000224,21,Male,Sophomore,Computer Science,86,19,3.12,Average,8
ST000225,19,Male,Sophomore,Software Engineering,91,14,3.2,Good,8
ST000226,21,Female,Sophomore,Data Science,90,19,2.79,Average,6
ST000227,20,Female,Senior,Artificial Intelligence,70,9,2.54,Poor,7
ST000228,21,Male,Junior,Software Engineering,91,25,3.52,Good,10
ST000229,21,Female,Sophomore,Artificial Intelligence,100,17,3.15,Average,6
ST000230,20,Female,Junior,Cybersecurity,74,27,3.22,Good,8
ST000231,22,Male,Senior,Software Engineering,71,27,3.23,Good,9
ST000232,18,Other,Junior,Artificial Intelligence,69,23,3.04,Average,7
ST000233,21,Female,Junior,Data Science,84,8,2.95,Average,7
ST000234,20,Female,Freshman,Cybersecurity,72,30,3.21,Good,9
ST000235,19,Female,Junior,Computer Science,93,22,3.36,Good,8
ST000236,22,Female,Junior,Artificial Intelligence,96,5,3.22,Good,9
ST000237,22,Female,Sophomore,Data Science,93,29,3.58,Good,9
ST000238,23,Male,Sophomore,Data Science,93,38,3.73,Excellent,8
ST000239,21,Male,Senior,Software Engineering,97,26,3.73,Excellent,8
ST000240,20,Male,Sophomore,Computer Science,79,33,3.42,Good,8
ST000241,22,Other,Junior,Data Science,70,10,2.35,Poor,4
ST000242,20,Male,Junior,Software Engineering,65,14,2.57,Poor,6
ST000243,22,Male,Freshman,Computer Science,90,22,3.05,Average,6
ST000244,21,Female,Junior,Artificial Intelligence,83,21,3.19,Average,6
ST000245,28,Male,Senior,Information Technology,90,23,3.12,Average,6
ST000246,19,Female,Sophomore,Information Technology,86,31,3.49,Good,7
ST000247,23,Female,Junior,Software Engineering,88,14,3.05,Average,7
ST000248,22,Female,Senior,Cybersecurity,82,13,3.18,Average,9
ST000249,21,Male,Sophomore,Data Science,82,14,2.84,Average,5
ST000250,21,Female,Senior,Cybersecurity,97,26,3.38,Good,6
ST000251,26,Female,Junior,Artificial Intelligence,93,17,3.24,Good,9
ST000252,22,Female,Freshman,Business Analytics,86,25,3.16,Average,6
ST000253,24,Male,Junior,Artificial Intelligence,63,14,2.8,Average,9
ST000254,19,Male,Sophomore,Computer Science,90,14,3.32,Good,8
ST000255,21,Male,Freshman,Artificial Intelligence,88,22,3.23,Good,7
ST000256,22,Male,Senior,Computer Science,79,31,3.32,Good,8
ST000257,19,Male,Junior,Cybersecurity,82,12,2.8,Average,6
ST000258,20,Male,Sophomore,Computer Science,85,20,3.02,Average,6
ST000259,22,Male,Junior,Data Science,80,24,3.24,Good,8
ST000260,20,Female,Freshman,Business Analytics,73,27,2.83,Average,4
ST000261,20,Male,Senior,Computer Science,77,20,2.84,Average,7
ST000262,25,Male,Sophomore,Information Technology,83,24,3.19,Average,4
ST000263,21,Male,Freshman,Computer Science,80,24,3.29,Good,8
ST000264,21,Female,Sophomore,Computer Science,83,30,3.42,Good,7
ST000265,22,Female,Freshman,Electrical Engineering,76,24,3.19,Average,5
ST000266,19,Female,Sophomore,Data Science,67,12,2.65,Average,4
ST000267,21,Female,Freshman,Cybersecurity,75,26,3.15,Average,8
ST000268,22,Male,Junior,Computer Science,78,12,2.72,Average,7
ST000269,23,Female,Senior,Information Technology,94,18,3.18,Average,4
ST000270,20,Male,Sophomore,Data Science,72,31,3.23,Good,7
ST000271,25,Male,Junior,Artificial Intelligence,80,19,2.87,Average,7
ST000272,20,Female,Junior,Software Engineering,82,19,3.04,Average,8
ST000273,22,Male,Freshman,Data Science,88,27,3.21,Good,8
ST000274,25,Male,Junior,Cybersecurity,81,23,3.03,Average,8
ST000275,19,Male,Freshman,Computer Science,94,24,3.27,Good,7
ST000276,21,Female,Sophomore,Software Engineering,76,25,3.27,Good,7
ST000277,22,Male,Sophomore,Computer Science,78,16,2.96,Average,9
ST000278,21,Female,Senior,Computer Science,66,20,2.81,Average,7
ST000279,22,Male,Senior,Artificial Intelligence,74,8,2.6,Average,8
ST000280,29,Male,Sophomore,Data Science,95,12,3.25,Good,7
ST000281,19,Male,Senior,Electrical Engineering,100,23,3.46,Good,4
ST000282,22,Female,Sophomore,Cybersecurity,82,24,3.36,Good,6
ST000283,23,Male,Freshman,Data Science,79,13,2.95,Average,6
ST000284,20,Male,Freshman,Artificial Intelligence,82,27,3.15,Average,9
ST000285,21,Male,Sophomore,Computer Science,87,32,3.54,Good,7
ST000286,22,Male,Junior,Data Science,65,18,2.4,Poor,7
ST000287,23,Female,Freshman,Electrical Engineering,68,26,2.53,Poor,3
ST000288,19,Female,Sophomore,Cybersecurity,76,21,3.31,Good,6
ST000289,29,Male,Sophomore,Artificial Intelligence,70,5,2.39,Poor,8
ST000290,21,Male,Senior,Business Analytics,89,41,3.68,Good,7
ST000291,21,Male,Senior,Computer Science,89,23,3.15,Average,8
ST000292,20,Male,Junior,Business Analytics,77,22,2.97,Average,3
ST000293,21,Female,Sophomore,Computer Science,93,19,3.12,Average,9
ST000294,20,Female,Junior,Business Analytics,95,28,3.51,Good,6
ST000295,22,Female,Senior,Artificial Intelligence,79,8,2.69,Average,6
ST000296,24,Female,Sophomore,Software Engineering,79,22,3.23,Good,10
ST000297,26,Female,Junior,Information Technology,66,5,2.49,Poor,5
ST000298,20,Female,Junior,Computer Science,75,22,2.99,Average,7
ST000299,19,Male,Senior,Software Engineering,77,15,2.85,Average,8
ST000300,20,Male,Senior,Computer Science,100,16,3.29,Good,8
ST000301,21,Male,Freshman,Business Analytics,84,14,2.84,Average,4
ST000302,20,Male,Junior,Information Technology,82,25,3.47,Good,6
ST000303,23,Male,Sophomore,Data Science,84,22,2.93,Average,8
ST000304,20,Male,Senior,Artificial Intelligence,76,26,3.1,Average,7
ST000305,23,Male,Sophomore,Artificial Intelligence,73,31,3.14,Average,7
ST000306,20,Female,Senior,Software Engineering,80,18,2.8,Average,7
ST000307,21,Female,Junior,Business Analytics,74,23,2.92,Average,5
ST000308,21,Female,Senior,Information Technology,72,16,2.73,Average,4
ST000309,28,Female,Senior,Computer Science,86,24,3.19,Average,8
ST000310,22,Female,Sophomore,Business Analytics,76,28,3.4,Good,5
ST000311,24,Male,Junior,Software Engineering,91,23,3.62,Good,10
ST000312,19,Male,Junior,Artificial Intelligence,86,27,3.35,Good,8
ST000313,19,Female,Junior,Computer Science,75,23,2.75,Average,6
ST000314,24,Female,Freshman,Cybersecurity,75,23,2.92,Average,6
ST000315,19,Female,Freshman,Electrical Engineering,72,15,2.94,Average,6
ST000316,24,Male,Junior,Data Science,75,21,2.81,Average,4
ST000317,22,Female,Junior,Computer Science,72,14,2.8,Average,6
ST000318,20,Female,Junior,Software Engineering,78,25,2.91,Average,8
ST000319,20,Male,Senior,Information Technology,93,24,3.58,Good,7
ST000320,22,Male,Sophomore,Computer Science,90,24,3.35,Good,8
ST000321,18,Male,Senior,Artificial Intelligence,70,24,2.81,Average,8
ST000322,21,Female,Senior,Artificial Intelligence,90,33,3.41,Good,10
ST000323,21,Male,Freshman,Computer Science,88,21,3.05,Average,8
ST000324,21,Male,Freshman,Cybersecurity,86,36,3.7,Excellent,10
ST000325,20,Male,Sophomore,Computer Science,84,19,3.07,Average,8
ST000326,21,Female,Sophomore,Artificial Intelligence,95,27,3.63,Good,8
ST000327,22,Female,Senior,Business Analytics,89,18,3.31,Good,4
ST000328,20,Male,Sophomore,Cybersecurity,76,27,3.15,Average,6
ST000329,19,Female,Junior,Cybersecurity,87,6,2.87,Average,7
ST000330,28,Female,Senior,Computer Science,78,25,3.22,Good,7
ST000331,18,Male,Senior,Computer Science,77,34,3.16,Average,8
ST000332,21,Female,Sophomore,Computer Science,75,5,2.69,Average,5
ST000333,23,Male,Junior,Software Engineering,65,20,2.71,Average,8
ST000334,19,Female,Sophomore,Artificial Intelligence,76,18,3.03,Average,8
ST000335,30,Male,Senior,Artificial Intelligence,88,29,3.53,Good,9
ST000336,19,Female,Junior,Computer Science,81,23,3.27,Good,8
ST000337,21,Male,Freshman,Cybersecurity,87,21,3.42,Good,7
ST000338,20,Female,Freshman,Data Science,89,22,3.42,Good,8
ST000339,21,Male,Senior,Data Science,71,25,3.02,Average,8
ST000340,20,Male,Freshman,Software Engineering,83,14,2.84,Average,8
ST000341,23,Female,Freshman,Computer Science,69,26,3.06,Average,8
ST000342,20,Male,Freshman,Computer Science,58,27,2.76,Average,8
ST000343,22,Male,Senior,Software Engineering,61,20,2.62,Average,7
ST000344,23,Male,Senior,Computer Science,68,17,2.7,Average,5
ST000345,23,Female,Junior,Cybersecurity,95,15,3.33,Good,7
ST000346,19,Male,Junior,Cybersecurity,90,13,3.18,Average,8
ST000347,21,Female,Sophomore,Computer Science,93,25,3.09,Average,7
ST000348,20,Female,Senior,Data Science,83,21,3.06,Average,6
ST000349,21,Female,Junior,Computer Science,69,23,2.8,Average,6
ST000350,23,Female,Freshman,Data Science,74,33,3.25,Good,8
ST000351,20,Male,Senior,Data Science,78,14,2.72,Average,6
ST000352,21,Female,Freshman,Computer Science,69,23,3.05,Average,7
ST000353,20,Male,Sophomore,Data Science,69,20,2.99,Average,5
ST000354,22,Male,Sophomore,Cybersecurity,82,16,3.26,Good,9
ST000355,23,Female,Sophomore,Artificial Intelligence,80,29,3.24,Good,9
ST000356,21,Female,Senior,Software Engineering,97,21,3.26,Good,6
ST000357,19,Female,Junior,Computer Science,87,33,3.44,Good,8
ST000358,23,Male,Junior,Software Engineering,90,16,3.09,Average,8
ST000359,22,Male,Sophomore,Artificial Intelligence,82,20,3.1,Average,8
ST000360,23,Female,Senior,Software Engineering,71,18,3.01,Average,8
ST000361,24,Male,Junior,Electrical Engineering,86,10,2.92,Average,4
ST000362,22,Female,Junior,Business Analytics,69,14,2.8,Average,5
ST000363,18,Male,Junior,Computer Science,81,24,2.98,Average,7
ST000364,21,Male,Junior,Software Engineering,82,14,3.09,Average,10
ST000365,22,Female,Junior,Computer Science,90,14,3.0,Average,7
ST000366,20,Female,Senior,Business Analytics,77,39,3.4,Good,4
ST000367,22,Female,Junior,Cybersecurity,88,17,3.1,Average,7
ST000368,19,Male,Sophomore,Artificial Intelligence,75,17,2.79,Average,8
ST000369,20,Male,Senior,Software Engineering,87,18,3.01,Average,8
ST000370,20,Male,Junior,Data Science,76,20,2.85,Average,6
ST000371,20,Female,Junior,Electrical Engineering,84,18,3.05,Average,5
ST000372,21,Female,Junior,Software Engineering,63,18,2.81,Average,7
ST000373,25,Male,Junior,Artificial Intelligence,71,22,2.92,Average,7
ST000374,21,Male,Senior,Computer Science,79,15,3.35,Good,7
ST000375,21,Male,Freshman,Information Technology,68,30,3.05,Average,7
ST000376,19,Male,Sophomore,Computer Science,72,18,2.77,Average,5
ST000377,20,Male,Sophomore,Software Engineering,93,16,3.38,Good,8
ST000378,23,Male,Junior,Artificial Intelligence,74,22,2.87,Average,8
ST000379,18,Male,Sophomore,Information Technology,67,15,2.87,Average,6
ST000380,18,Female,Freshman,Computer Science,80,16,2.84,Average,6
ST000381,24,Female,Freshman,Computer Science,84,13,3.13,Average,7
ST000382,24,Other,Junior,Software Engineering,74,18,2.8,Average,7
ST000383,22,Male,Sophomore,Computer Science,62,22,2.82,Average,7
ST000384,21,Female,Senior,Computer Science,82,15,2.94,Average,5
ST000385,20,Male,Junior,Artificial Intelligence,100,6,3.22,Good,8
ST000386,19,Male,Senior,Business Analytics,75,23,3.03,Average,5
ST000387,23,Female,Junior,Cybersecurity,73,22,2.72,Average,8
ST000388,21,Female,Freshman,Artificial Intelligence,76,13,2.81,Average,6
ST000389,20,Male,Sophomore,Electrical Engineering,83,19,3.19,Average,5
ST000390,21,Female,Freshman,Information Technology,68,34,3.16,Average,5
ST000391,22,Female,Senior,Artificial Intelligence,81,26,3.36,Good,8
ST000392,20,Female,Junior,Software Engineering,80,33,3.31,Good,9
ST000393,27,Male,Sophomore,Cybersecurity,74,19,2.84,Average,8
ST000394,19,Female,Sophomore,Computer Science,83,12,2.85,Average,8
ST000395,21,Male,Freshman,Cybersecurity,87,26,3.13,Average,6
ST000396,21,Male,Sophomore,Computer Science,94,16,3.43,Good,8
ST000397,20,Female,Junior,Data Science,78,10,3.09,Average,8
